# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
3.741105882720528966e-10, 1.751782760110394955e+08, 2.540279844173434190e+06
3.935500754557772142e-10, 1.751108553530128896e+08, 2.671341146745814011e+06
4.139996748197304272e-10, 1.757379390824050605e+08, 2.820314631505049299e+06
4.355118736855688095e-10, 1.767985020074746311e+08, 2.984882070382321253e+06
4.581418867145339649e-10, 1.769506431564629376e+08, 3.142810292144590523e+06
4.819477976251271319e-10, 1.781103241468348205e+08, 3.327924345703956205e+06
5.069907082747033666e-10, 1.784499030325424075e+08, 3.507679852912849747e+06
5.333348954876202279e-10, 1.783358111845117211e+08, 3.687758525649837684e+06
5.610479760324701077e-10, 1.781135258249216378e+08, 3.874736287055320572e+06
5.902010801718442306e-10, 1.774792837598327398e+08, 4.061770294617502950e+06
6.208690342300637909e-10, 1.767956462340791523e+08, 4.256600238148435950e+06
6.531305526474729939e-10, 1.767221984065462649e+08, 4.476176855128244497e+06
6.870684400142317101e-10, 1.757759633075451255e+08, 4.683836644752528518e+06
7.227698036021688210e-10, 1.741350167427368462e+08, 4.881528649750244804e+06
7.603262769401807175e-10, 1.725268727744650245e+08, 5.088097020897263661e+06
7.998342550070276743e-10, 1.713779120200862885e+08, 5.317210867665783502e+06
8.413951416451946904e-10, 1.691850647115115523e+08, 5.522338687089952640e+06
8.851156098308355951e-10, 1.669307879932329655e+08, 5.732328887830298394e+06
9.311078754678309670e-10, 1.648753679562812150e+08, 5.956426933868117630e+06
9.794899854086980821e-10, 1.621846823534280062e+08, 6.164205317664531060e+06
1.030386120441616095e-09, 1.592606827453134358e+08, 6.368159263707435690e+06
1.083926914021204014e-09, 1.561051103534654379e+08, 6.566951094106835313e+06
1.140249787561167319e-09, 1.530401712503194511e+08, 6.773225595633788034e+06
1.199499303149378128e-09, 1.497149242988297343e+08, 6.971092714122485369e+06
1.261827534590670558e-09, 1.462954991440259814e+08, 7.166626042070705444e+06
1.327394457729740273e-09, 1.431291747277189791e+08, 7.376705308246750385e+06
1.396368361055936317e-09, 1.396058807246978581e+08, 7.569916171804784797e+06
