# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
9.527961640236521090e-11, 4.140135679486866474e+09, 3.043186178011137486e+09
1.002305238077900488e-10, 3.902856116666350365e+09, 3.017844950782612324e+09
1.054386896391260237e-10, 3.651599702554433823e+09, 2.970284174191823483e+09
1.109174815262403146e-10, 3.405447656414064407e+09, 2.913999864882452965e+09
1.166809617060962959e-10, 3.162387337101682186e+09, 2.846629101679219246e+09
1.227439231158405997e-10, 2.926908230778151989e+09, 2.771567495666224480e+09
1.291219273613533562e-10, 2.703569452289191246e+09, 2.693112170710723877e+09
1.358313446587154174e-10, 2.479334714272010803e+09, 2.598080842291804314e+09
1.428893958511103824e-10, 2.273898390049519062e+09, 2.506623872556506634e+09
1.503141966090024084e-10, 2.092789290779709578e+09, 2.426857474534642696e+09
1.581248039270385857e-10, 1.896234431598283529e+09, 2.313190922812281132e+09
1.663412650370169698e-10, 1.719812677040550232e+09, 2.206994833638928890e+09
1.749846688624654551e-10, 1.557076158953620434e+09, 2.101990662659518003e+09
1.840772001468954491e-10, 1.416616492168044567e+09, 2.011750032567700386e+09
1.936421963946606826e-10, 1.284881547939755440e+09, 1.919489113211401939e+09
2.037042077705718970e-10, 1.156316887134573698e+09, 1.817189882629809618e+09
2.142890601120060623e-10, 1.037373934458956957e+09, 1.714982529313102961e+09
2.254239212152432687e-10, 9.229964283812872171e+08, 1.605186002980970621e+09
2.371373705661655168e-10, 8.266577638770362139e+08, 1.512349329452248096e+09
2.494594726942950709e-10, 7.341754687245715857e+08, 1.412951702894153357e+09
2.624218543384439019e-10, 6.518887839194064140e+08, 1.319781668342480421e+09
2.760577856220344782e-10, 5.815893236334443092e+08, 1.238643141508991480e+09
2.904022654464451017e-10, 5.179070837120432258e+08, 1.160333641314887285e+09
3.054921113215515548e-10, 4.576244791088606119e+08, 1.078553273780959368e+09
3.213660538640321425e-10, 4.043345451688665152e+08, 1.002477401899233818e+09
3.380648362059815113e-10, 3.571859826665169597e+08, 9.316002852745767832e+08
3.556313185689847556e-10, 3.145691799462213516e+08, 8.630836982560139894e+08
3.741105882720528966e-10, 2.741001378264722824e+08, 7.911295664292770624e+08
3.935500754557772142e-10, 2.398328734343736470e+08, 7.281968136112021208e+08
4.139996748197304272e-10, 2.086175673731825650e+08, 6.663351612776361704e+08
4.355118736855688095e-10, 1.840370191957283914e+08, 6.183707346841297150e+08
4.581418867145339649e-10, 1.602055930113785863e+08, 5.662697892149578333e+08
4.819477976251271319e-10, 1.387569801975778043e+08, 5.159440903186073899e+08
5.069907082747033666e-10, 1.206766705560989976e+08, 4.720340362810403705e+08
5.333348954876202279e-10, 1.046813412497373074e+08, 4.307463242696225643e+08
5.610479760324701077e-10, 9.041054588914269209e+07, 3.913576426247285604e+08
5.902010801718442306e-10, 7.777366349713478982e+07, 3.541521126563962102e+08
6.208690342300637909e-10, 6.695132085668109357e+07, 3.207148832945935130e+08
6.531305526474729939e-10, 5.802984357187335938e+07, 2.924247917730414867e+08
6.870684400142317101e-10, 4.982134736030136049e+07, 2.641078008321744800e+08
7.227698036021688210e-10, 4.288494323841670156e+07, 2.391518394926468730e+08
7.603262769401807175e-10, 3.665260441184735298e+07, 2.150190870630402863e+08
7.998342550070276743e-10, 3.132599249817661941e+07, 1.933216406951269507e+08
8.413951416451946904e-10, 2.686779402000120282e+07, 1.744260239880137444e+08
8.851156098308355951e-10, 2.313276871965232491e+07, 1.579831301403974891e+08
9.311078754678309670e-10, 1.977095355165675655e+07, 1.420413334062671959e+08
9.794899854086980821e-10, 1.689770079314769804e+07, 1.277082565414292812e+08
1.030386120441616095e-09, 1.444200914987306856e+07, 1.148215569435805380e+08
1.083926914021204014e-09, 1.234319573048642278e+07, 1.032352748572575003e+08
1.140249787561167319e-09, 1.054939650432490371e+07, 9.281818008469946682e+07
1.199499303149378128e-09, 9.016284683113908395e+06, 8.345228554034422338e+07
1.261827534590670558e-09, 7.705975356374830008e+06, 7.503151081170718372e+07
1.327394457729740273e-09, 6.586089312848503701e+06, 6.746048058854007721e+07
1.396368361055936317e-09, 5.628952913914258592e+06, 6.065344434986375272e+07
1.468926277643866174e-09, 4.810914246979702264e+06, 5.453330507197117060e+07
1.545254439538414134e-09, 4.111758660226166714e+06, 4.903074595541152358e+07
1.625548755750481709e-09, 3.559968936694922857e+06, 4.465747065159715712e+07
1.710015315090286320e-09, 3.042609440561338793e+06, 4.015147598305173218e+07
1.798870915128787322e-09, 2.600436232004774734e+06, 3.610017373698870838e+07
1.892343618644975688e-09, 2.222522715723776724e+06, 3.245767992742808163e+07
1.990673338987188583e-09, 1.899530225396089489e+06, 2.918274091345812380e+07
2.094112455850895670e-09, 1.623477254772753688e+06, 2.623826612665119767e+07
