# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
1.199499303149378128e-09, 1.385290557230794430e+08, 9.236364331299823523e+07
1.261827534590670558e-09, 1.288055512048055530e+08, 9.034837719893877208e+07
1.327394457729740273e-09, 1.200538136973878890e+08, 8.859080727023351192e+07
1.396368361055936317e-09, 1.109785305593064278e+08, 8.615490112696598470e+07
1.468926277643866174e-09, 1.027165443954208493e+08, 8.389019577587740123e+07
1.545254439538414134e-09, 9.547470762790866196e+07, 8.203335612770386040e+07
1.625548755750481709e-09, 8.757756641586507857e+07, 7.916404487251627445e+07
1.710015315090286320e-09, 8.095210353328150511e+07, 7.698354615635833144e+07
1.798870915128787322e-09, 7.498631571295148134e+07, 7.502193466436788440e+07
1.892343618644975688e-09, 6.916693412443089485e+07, 7.280196981960941851e+07
1.990673338987188583e-09, 6.376412586543253064e+07, 7.060921214993283153e+07
2.094112455850895670e-09, 5.905544533357187361e+07, 6.879982722044064105e+07
2.202926463053456075e-09, 5.477406372970304638e+07, 6.713469277987800539e+07
2.317394649968475145e-09, 5.106302391736759245e+07, 6.584541392828098685e+07
2.437810818368750009e-09, 4.732534676558756828e+07, 6.420401698292747885e+07
2.564484036517716058e-09, 4.355581795215383172e+07, 6.216794681343268603e+07
2.697739432444920460e-09, 3.994859564056090266e+07, 5.998967573126897961e+07
2.837919028441557893e-09, 3.719299703318865597e+07, 5.876160542804594338e+07
2.985382618917963357e-09, 3.424530092046008259e+07, 5.692380496147564799e+07
3.140508693876216431e-09, 3.113528456358629465e+07, 5.445143943465019017e+07
3.303695410368142213e-09, 2.872326923671843112e+07, 5.285149532288305461e+07
3.475361614432053799e-09, 2.661101741887309402e+07, 5.151755440386079997e+07
3.655947916131246718e-09, 2.441083633343369886e+07, 4.972220848213173449e+07
3.845917820453534961e-09, 2.237918664399912581e+07, 4.796118147030138969e+07
4.045758916974428963e-09, 2.053101498147245869e+07, 4.629540061143489927e+07
4.255984131337434845e-09, 1.895669988696936890e+07, 4.497552586224652827e+07
4.477133041763623226e-09, 1.744835177853105590e+07, 4.355705088924878836e+07
4.709773263969519825e-09, 1.607081569635605626e+07, 4.221212420753683150e+07
4.954501908047895353e-09, 1.476461715182594582e+07, 4.080577500770507008e+07
5.211947111050799924e-09, 1.355644521902124397e+07, 3.942308413624224067e+07
5.482769649208535777e-09, 1.245658984475191683e+07, 3.811664934582584351e+07
5.767664633922509555e-09, 1.135542078764780611e+07, 3.656244992744671553e+07
6.067363295885059185e-09, 1.031413224902236462e+07, 3.494517958926834911e+07
