# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
3.639150361272071167e-11, 1.406220965064594746e+09, 8.095851200385354459e+07
3.828247433168220594e-11, 1.428741338722181559e+09, 8.652928113619250059e+07
4.027170343254586841e-11, 1.415091475821891308e+09, 9.015598528519794345e+07
4.236429660495408969e-11, 1.430503756245834112e+09, 9.587373461749908328e+07
4.456562483975033441e-11, 1.431438262951844692e+09, 1.009215445542577952e+08
4.688133821452655254e-11, 1.478755142804500103e+09, 1.096751384431350380e+08
4.931738039549364670e-11, 1.505750857586679935e+09, 1.174804856528788805e+08
5.188000389289609384e-11, 1.500865520518227100e+09, 1.231842322951946408e+08
5.457578610912699557e-11, 1.508796142762549639e+09, 1.302700770798918456e+08
5.741164622073268011e-11, 1.524259709874952793e+09, 1.384439173295479119e+08
6.039486293763794275e-11, 1.533265237908572674e+09, 1.464984549622995257e+08
6.353309318517436562e-11, 1.566132714522608519e+09, 1.574146711017460227e+08
6.683439175686149603e-11, 1.570994893696828604e+09, 1.661086904029181898e+08
7.030723198838341702e-11, 1.613467652048509836e+09, 1.794646136468156874e+08
7.396052750582374558e-11, 1.613265560006421566e+09, 1.887667349461801946e+08
7.780365510398024982e-11, 1.629624602614657402e+09, 2.005895313623614609e+08
8.184647881347885976e-11, 1.647639138612272501e+09, 2.133457211988821328e+08
8.609937521845998927e-11, 1.666258471233281136e+09, 2.269684091510495245e+08
9.057326008981998694e-11, 1.664198841774037123e+09, 2.384676803519636095e+08
9.527961640236521090e-11, 1.669039861294494390e+09, 2.515894091394063830e+08
1.002305238077900488e-10, 1.678493165358122587e+09, 2.661623529576695561e+08
1.054386896391260237e-10, 1.677367080958846092e+09, 2.798057546757916212e+08
1.109174815262403146e-10, 1.677109265709687710e+09, 2.943007971665230989e+08
1.166809617060962959e-10, 1.669509738075484037e+09, 3.081915101232014298e+08
1.227439231158405997e-10, 1.668867217129642248e+09, 3.240822287487875819e+08
1.291219273613533562e-10, 1.658569363389869928e+09, 3.388198771460322738e+08
1.358313446587154174e-10, 1.655225267192081451e+09, 3.557085066164753437e+08
1.428893958511103824e-10, 1.662181886313286543e+09, 3.757661805446258783e+08
1.503141966090024084e-10, 1.647972155883198500e+09, 3.919143088398039937e+08
1.581248039270385857e-10, 1.626670232358074665e+09, 4.069518096935239434e+08
1.663412650370169698e-10, 1.616119725386141539e+09, 4.253234475164803267e+08
1.749846688624654551e-10, 1.589919842087448597e+09, 4.401730757607139349e+08
1.840772001468954491e-10, 1.560515547905044317e+09, 4.544843394832604527e+08
1.936421963946606826e-10, 1.535334682109818459e+09, 4.703883913057805300e+08
2.037042077705718970e-10, 1.497078889194130898e+09, 4.825041731419784427e+08
2.142890601120060623e-10, 1.464082905517284870e+09, 4.963923255268490314e+08
2.254239212152432687e-10, 1.430774913457811832e+09, 5.103097455906527042e+08
2.371373705661655168e-10, 1.389854144154935598e+09, 5.214769211590770483e+08
2.494594726942950709e-10, 1.354091584052726984e+09, 5.344626967934608459e+08
2.624218543384439019e-10, 1.316985685914969921e+09, 5.468322120677369833e+08
2.760577856220344782e-10, 1.272735490364453077e+09, 5.559235285980889797e+08
2.904022654464451017e-10, 1.239927757717602730e+09, 5.697408377258284092e+08
3.054921113215515548e-10, 1.195427787881871462e+09, 5.778413176407686472e+08
3.213660538640321425e-10, 1.155668814174618244e+09, 5.876559523940378428e+08
3.380648362059815113e-10, 1.110342099042140961e+09, 5.939519139189410210e+08
3.556313185689847556e-10, 1.062566684210458994e+09, 5.979373114818929434e+08
3.741105882720528966e-10, 1.022154178870203018e+09, 6.050915758012111187e+08
3.935500754557772142e-10, 9.707913939608740807e+08, 6.045554304615386724e+08
4.139996748197304272e-10, 9.191525107647663355e+08, 6.021484653813083172e+08
4.355118736855688095e-10, 8.708416238881320953e+08, 6.001520351911246777e+08
4.581418867145339649e-10, 8.214461834324787855e+08, 5.955354730919617414e+08
4.819477976251271319e-10, 7.749944878496719599e+08, 5.910631459759142399e+08
5.069907082747033666e-10, 7.332297880167421103e+08, 5.882778091737291813e+08
5.333348954876202279e-10, 6.888857102440344095e+08, 5.814294290942426920e+08
