# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
7.030723198838341702e-11, 1.324549271772740409e+07, 4.157731380993014900e+05
7.396052750582374558e-11, 1.132056540506206639e+07, 3.738334039202515851e+05
7.780365510398024982e-11, 1.214972351813364588e+07, 4.220842872867722181e+05
8.184647881347885976e-11, 1.520402811858100072e+07, 5.556680686256301124e+05
8.609937521845998927e-11, 2.716741525829635561e+07, 1.044552636067556683e+06
9.057326008981998694e-11, 3.647258888448990881e+07, 1.475282330245334888e+06
9.527961640236521090e-11, 4.136072513446265459e+07, 1.760048405684006168e+06
1.002305238077900488e-10, 4.132152995321374387e+07, 1.849874340557318181e+06
1.054386896391260237e-10, 4.875623688746862113e+07, 2.296290900116485544e+06
1.109174815262403146e-10, 5.073163613258641213e+07, 2.513668999184622429e+06
1.166809617060962959e-10, 5.348936704888731241e+07, 2.788244529120838270e+06
1.227439231158405997e-10, 7.159725746225115657e+07, 3.926410836848148145e+06
1.291219273613533562e-10, 7.343124774674712121e+07, 4.236606014009762555e+06
1.358313446587154174e-10, 7.923684042806980014e+07, 4.809546185780903324e+06
1.428893958511103824e-10, 7.877956412808871269e+07, 5.030745714601612650e+06
1.503141966090024084e-10, 8.862030454269815981e+07, 5.953824689969228581e+06
1.581248039270385857e-10, 1.060736328615234643e+08, 7.497501167010524310e+06
1.663412650370169698e-10, 1.122426042097022235e+08, 8.346713912367327139e+06
1.749846688624654551e-10, 1.327472402027616650e+08, 1.038566987090941519e+07
1.840772001468954491e-10, 1.416612303774458766e+08, 1.166041200887852907e+07
1.936421963946606826e-10, 1.638315265011277497e+08, 1.418786444664144143e+07
2.037042077705718970e-10, 1.820670585769009590e+08, 1.658863040679171681e+07
2.142890601120060623e-10, 2.031308311242806911e+08, 1.947231971443668380e+07
2.254239212152432687e-10, 2.256368573068871200e+08, 2.275714763299092650e+07
2.371373705661655168e-10, 2.523803128818489313e+08, 2.678135912751180306e+07
2.494594726942950709e-10, 2.771465550243563652e+08, 3.094279708621634170e+07
2.624218543384439019e-10, 2.914533697669162154e+08, 3.423701466155907512e+07
2.760577856220344782e-10, 3.238623307448066473e+08, 4.002837318290789425e+07
2.904022654464451017e-10, 3.645285466552428603e+08, 4.740497469997041672e+07
3.054921113215515548e-10, 3.909760040347115993e+08, 5.349728510559152812e+07
3.213660538640321425e-10, 4.146917877371321917e+08, 5.970366022989518195e+07
3.380648362059815113e-10, 4.531920260472944975e+08, 6.865252597245758772e+07
3.556313185689847556e-10, 4.751766558026579618e+08, 7.574137826621691883e+07
3.741105882720528966e-10, 5.014569153009666800e+08, 8.410483181014983356e+07
3.935500754557772142e-10, 5.211200941355748177e+08, 9.196869029042734206e+07
4.139996748197304272e-10, 5.424768268910288811e+08, 1.007405155453051329e+08
4.355118736855688095e-10, 5.708436824021942616e+08, 1.115493935136423558e+08
4.581418867145339649e-10, 5.717776490350532532e+08, 1.175738626648178548e+08
4.819477976251271319e-10, 5.841343763211083412e+08, 1.263970307585228682e+08
5.069907082747033666e-10, 5.962499190560892820e+08, 1.357688645748043954e+08
5.333348954876202279e-10, 5.897486430639884472e+08, 1.413169229528978169e+08
5.610479760324701077e-10, 5.911253795482730865e+08, 1.490631212124610841e+08
5.902010801718442306e-10, 5.836769716192559004e+08, 1.548941335577196181e+08
6.208690342300637909e-10, 5.782581672640261650e+08, 1.614971438367352486e+08
