# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
7.030723198838341702e-11, 1.862233496724516153e+07, 2.009258998786680459e+05
7.396052750582374558e-11, 1.830557221159917116e+07, 2.077266949183201068e+05
7.780365510398024982e-11, 1.751542945916226506e+07, 2.091481418136615830e+05
8.184647881347885976e-11, 1.719553637826558948e+07, 2.160644707351220713e+05
8.609937521845998927e-11, 1.691474329494070634e+07, 2.236412198464625981e+05
9.057326008981998694e-11, 1.697548695147449896e+07, 2.361551275332639925e+05
9.527961640236521090e-11, 1.706718976540101320e+07, 2.494469644939807476e+05
1.002305238077900488e-10, 1.695402446066683158e+07, 2.607569758719098172e+05
1.054386896391260237e-10, 1.673840045765925013e+07, 2.709116388731151237e+05
1.109174815262403146e-10, 1.664345069061330706e+07, 2.832011684316935134e+05
1.166809617060962959e-10, 1.650912359034784511e+07, 2.955626523573367740e+05
1.227439231158405997e-10, 1.625277123202411085e+07, 3.062012934887873125e+05
1.291219273613533562e-10, 1.633112276824250631e+07, 3.237780062635203358e+05
1.358313446587154174e-10, 1.641958958053325675e+07, 3.425496654560139868e+05
1.428893958511103824e-10, 1.618870918434746191e+07, 3.553631238359257695e+05
1.503141966090024084e-10, 1.590060557716791146e+07, 3.672467693595883902e+05
1.581248039270385857e-10, 1.626030246037744731e+07, 3.951531306810667156e+05
1.663412650370169698e-10, 1.600136517954679206e+07, 4.091122812213189900e+05
1.749846688624654551e-10, 1.659459672189393826e+07, 4.461744831423774012e+05
1.840772001468954491e-10, 1.725208315622065216e+07, 4.880709269937355421e+05
1.936421963946606826e-10, 1.760647321374469623e+07, 5.240218429062553332e+05
2.037042077705718970e-10, 1.806524671698478982e+07, 5.657136307690662798e+05
2.142890601120060623e-10, 1.857223090892450511e+07, 6.115740529773082817e+05
2.254239212152432687e-10, 1.902089016923659295e+07, 6.590342285361342365e+05
2.371373705661655168e-10, 2.007197840087204799e+07, 7.317387625329502625e+05
2.494594726942950709e-10, 2.082618741843880713e+07, 7.988104703683248954e+05
2.624218543384439019e-10, 2.206244392900863662e+07, 8.900851238726780284e+05
2.760577856220344782e-10, 2.321398914633629844e+07, 9.849408458417298971e+05
2.904022654464451017e-10, 2.456075873002596572e+07, 1.096478542762649711e+06
3.054921113215515548e-10, 2.593494476268137991e+07, 1.218214191454576561e+06
3.213660538640321425e-10, 2.725113564130559936e+07, 1.346752836078721797e+06
3.380648362059815113e-10, 2.906316844921625778e+07, 1.511136530513412552e+06
3.556313185689847556e-10, 3.044904419565280154e+07, 1.665632668461039895e+06
