# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
1.109174815262403146e-10, 1.491710459283952475e+09, 3.056699769840595722e+09
1.166809617060962959e-10, 1.305505396076639414e+09, 2.814152799164260387e+09
1.227439231158405997e-10, 1.154198531064574480e+09, 2.617280765267782211e+09
1.291219273613533562e-10, 1.013433237214898586e+09, 2.417496054917211056e+09
1.358313446587154174e-10, 8.876156874742271900e+08, 2.227391085649402618e+09
1.428893958511103824e-10, 7.667079425216767788e+08, 2.023962181921365023e+09
1.503141966090024084e-10, 6.630533810197874308e+08, 1.841288735100044489e+09
1.581248039270385857e-10, 5.818763175983678102e+08, 1.699828496196999550e+09
1.663412650370169698e-10, 5.044805032760906219e+08, 1.550314771768849373e+09
1.749846688624654551e-10, 4.345747281622078419e+08, 1.404886036983062983e+09
1.840772001468954491e-10, 3.874084537023611665e+08, 1.317488737819821835e+09
1.936421963946606826e-10, 3.433746032480832934e+08, 1.228421021635146141e+09
2.037042077705718970e-10, 2.961803786489608884e+08, 1.114645248854913235e+09
2.142890601120060623e-10, 2.530484631425848007e+08, 1.001810256350769162e+09
2.254239212152432687e-10, 2.161968847535358369e+08, 9.003941355489628315e+08
2.371373705661655168e-10, 1.847113111635758579e+08, 8.092416912223007679e+08
2.494594726942950709e-10, 1.578104743368766904e+08, 7.273144142451480627e+08
2.624218543384439019e-10, 1.348269093031446636e+08, 6.536791668042143583e+08
2.760577856220344782e-10, 1.151902128880686015e+08, 5.874966968227639198e+08
2.904022654464451017e-10, 9.841302792109821737e+07, 5.280126391588062048e+08
3.054921113215515548e-10, 8.407915130514000356e+07, 4.745500430457649231e+08
3.213660538640321425e-10, 7.183266121453326941e+07, 4.264987180874636769e+08
3.380648362059815113e-10, 6.136969768083619326e+07, 3.833115818529520035e+08
3.556313185689847556e-10, 5.243050353907724470e+07, 3.444960796277880073e+08
3.741105882720528966e-10, 4.479323681039508432e+07, 3.096100990391703248e+08
3.935500754557772142e-10, 3.826828020436586440e+07, 2.782557577981555462e+08
4.139996748197304272e-10, 3.269366307292526588e+07, 2.500756875850383937e+08
4.355118736855688095e-10, 2.793098019345339015e+07, 2.247485399949665964e+08
4.581418867145339649e-10, 2.386201384104224667e+07, 2.019857611213033795e+08
4.819477976251271319e-10, 2.038572343376958370e+07, 1.815276992216752768e+08
5.069907082747033666e-10, 1.741579053963105753e+07, 1.631410462156978250e+08
5.333348954876202279e-10, 1.487845641856543161e+07, 1.466160019892523885e+08
5.610479760324701077e-10, 1.271074465711572394e+07, 1.317644076971275508e+08
5.902010801718442306e-10, 1.085880650070987642e+07, 1.184167197416181266e+08
