# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
5.333348954876202279e-10, 4.615771429184697270e+08, 6.497079111250892282e+07
5.610479760324701077e-10, 4.354028406224955320e+08, 6.447199228533761203e+07
5.902010801718442306e-10, 4.099933659663652182e+08, 6.386500416386787593e+07
6.208690342300637909e-10, 3.848617294121968150e+08, 6.306631437011194974e+07
6.531305526474729939e-10, 3.612959603323991299e+08, 6.228203328074379265e+07
6.870684400142317101e-10, 3.385991150285989046e+08, 6.140345503676278144e+07
7.227698036021688210e-10, 3.174487194476905465e+08, 6.056033414380622655e+07
7.603262769401807175e-10, 2.969660823000851274e+08, 5.959771729054221511e+07
7.998342550070276743e-10, 2.776722643481385112e+08, 5.862242655739329010e+07
8.413951416451946904e-10, 2.600363023307361603e+08, 5.775295716682591289e+07
8.851156098308355951e-10, 2.433621837132366300e+08, 5.685946369861929119e+07
9.311078754678309670e-10, 2.276414149240643680e+08, 5.595138631923472881e+07
9.794899854086980821e-10, 2.127540865067516565e+08, 5.501079362595198303e+07
1.030386120441616095e-09, 1.984675490238078237e+08, 5.398467264368733764e+07
1.083926914021204014e-09, 1.849725441884325147e+08, 5.292974130317120254e+07
1.140249787561167319e-09, 1.722658318292992711e+08, 5.185656928693659604e+07
1.199499303149378128e-09, 1.605266591929402351e+08, 5.083520368802802265e+07
1.261827534590670558e-09, 1.491936857227307558e+08, 4.970284759484148026e+07
1.327394457729740273e-09, 1.384852988414134085e+08, 4.853428383354313672e+07
1.396368361055936317e-09, 1.285221156662976742e+08, 4.738465004129621387e+07
1.468926277643866174e-09, 1.193729164324413389e+08, 4.630002714573793858e+07
1.545254439538414134e-09, 1.105556335549541712e+08, 4.510999307245787233e+07
1.625548755750481709e-09, 1.026555533428398967e+08, 4.406478201738073677e+07
1.710015315090286320e-09, 9.533084495727455616e+07, 4.304877653601989895e+07
1.798870915128787322e-09, 8.815702424776862562e+07, 4.187968730691384524e+07
1.892343618644975688e-09, 8.167795266397054493e+07, 4.081985733572786301e+07
1.990673338987188583e-09, 7.555417109879066050e+07, 3.972338602658853680e+07
2.094112455850895670e-09, 6.984445835958378017e+07, 3.863154207823571563e+07
2.202926463053456075e-09, 6.460438681000304222e+07, 3.759200856879939139e+07
2.317394649968475145e-09, 5.982937378924003243e+07, 3.662457782712125033e+07
2.437810818368750009e-09, 5.536420115844251961e+07, 3.565440019971009344e+07
2.564484036517716058e-09, 5.123049601346459985e+07, 3.470882647554394603e+07
2.697739432444920460e-09, 4.739175932059341669e+07, 3.377869666526269913e+07
2.837919028441557893e-09, 4.377342785635946691e+07, 3.282319030797871202e+07
2.985382618917963357e-09, 4.044884113619015366e+07, 3.190862274383971468e+07
3.140508693876216431e-09, 3.735196906895731390e+07, 3.099908437187816575e+07
3.303695410368142213e-09, 3.446277150937797129e+07, 3.008989600451671332e+07
3.475361614432053799e-09, 3.181813332416418195e+07, 2.922685779761631414e+07
3.655947916131246718e-09, 2.930189692571477592e+07, 2.831665991535259783e+07
3.845917820453534961e-09, 2.707882194002019241e+07, 2.753067946058576554e+07
4.045758916974428963e-09, 2.501158541338858381e+07, 2.675293161190244928e+07
4.255984131337434845e-09, 2.307917152650026977e+07, 2.597141411087432131e+07
4.477133041763623226e-09, 2.126919628025507927e+07, 2.518106129840091616e+07
4.709773263969519825e-09, 1.963543971548184380e+07, 2.445758758884143457e+07
4.954501908047895353e-09, 1.806549130092543364e+07, 2.367420434701593965e+07
5.211947111050799924e-09, 1.660901886528483592e+07, 2.289944464564589784e+07
5.482769649208535777e-09, 1.528608698407709599e+07, 2.217356501583603770e+07
5.767664633922509555e-09, 1.408490854233653471e+07, 2.149584247570208460e+07
6.067363295885059185e-09, 1.296713973639241420e+07, 2.082135773553738371e+07
6.382634861905482558e-09, 1.192451126159384660e+07, 2.014527477344658971e+07
6.714288529259509001e-09, 1.096348824822382629e+07, 1.948734276792143285e+07
7.063175542629608811e-09, 1.010884193857167847e+07, 1.890515430241717398e+07
7.430191378967006415e-09, 9.312533718436816707e+06, 1.832422057938826457e+07
7.816278045883292923e-09, 8.576188155605018139e+06, 1.775558012590092421e+07
8.222426499470713005e-09, 7.868469305675599724e+06, 1.714028446768231317e+07
8.649679187756937814e-09, 7.236943089790397324e+06, 1.658725971357320249e+07
9.099132726322508595e-09, 6.655959422702583484e+06, 1.605190625030868873e+07
9.571940712948442686e-09, 6.118009254295021296e+06, 1.552485417221630737e+07
1.006931668851804562e-08, 5.658137638149443083e+06, 1.510767399075615965e+07
1.059253725177287621e-08, 5.180873254469058476e+06, 1.455590717755918391e+07
1.114294533591729230e-08, 4.766411922788803466e+06, 1.409113235717447102e+07
1.172195365548130236e-08, 4.388154493725678883e+06, 1.365087032853472419e+07
1.233104833228909634e-08, 4.033755886430908926e+06, 1.320439673875285685e+07
1.297179270983955861e-08, 3.695311183045699261e+06, 1.272908624864702672e+07
1.364583136588923983e-08, 3.396475560492883436e+06, 1.231172914770041220e+07
1.435489433353654691e-08, 3.104269471744535491e+06, 1.184136497679540142e+07
1.510080154164146180e-08, 2.867725721554228570e+06, 1.151170335732270032e+07
1.588546748597777465e-08, 2.626349250754923094e+06, 1.109487240413791314e+07
1.671090614310706979e-08, 2.414634938068848103e+06, 1.073325785056600161e+07
1.757923613958693077e-08, 2.220458022631341126e+06, 1.038754584031269699e+07
1.849268618978079709e-08, 2.042202995218813187e+06, 1.005469338647194020e+07
1.945360081622663184e-08, 1.873140051214352716e+06, 9.706065647653805092e+06
2.046444636724671542e-08, 1.711243236369734164e+06, 9.332636109422173351e+06
2.152781734724369502e-08, 1.564826698294385336e+06, 8.982336978147882968e+06
2.264644307593057319e-08, 1.432672574567497708e+06, 8.655853554421873763e+06
2.382319469358689039e-08, 1.308589502400035737e+06, 8.321860398828595877e+06
