# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
7.030723198838341702e-11, 1.604876612406226806e+07, 4.966166085185644915e+05
7.396052750582374558e-11, 1.659502992368317023e+07, 5.402316881998467725e+05
7.780365510398024982e-11, 1.753287866000537202e+07, 6.004527381731754867e+05
8.184647881347885976e-11, 2.148225179703455046e+07, 7.739808525361838983e+05
8.609937521845998927e-11, 2.420346788588765636e+07, 9.173902283775630640e+05
9.057326008981998694e-11, 2.785838327652737126e+07, 1.110861400767958257e+06
9.527961640236521090e-11, 3.495585658682639152e+07, 1.466401157957612537e+06
1.002305238077900488e-10, 4.178591466012655944e+07, 1.844136807296390412e+06
1.054386896391260237e-10, 4.676688319032636285e+07, 2.171368850619480945e+06
1.109174815262403146e-10, 5.607862018149591237e+07, 2.739214908066560514e+06
1.166809617060962959e-10, 6.365271973537787795e+07, 3.271004238942485303e+06
1.227439231158405997e-10, 6.606260688919430971e+07, 3.571552498350864276e+06
1.291219273613533562e-10, 7.207644841125215590e+07, 4.099527717433875892e+06
1.358313446587154174e-10, 7.976572048948392272e+07, 4.773070921357206069e+06
1.428893958511103824e-10, 9.089558603043748438e+07, 5.722261089627510868e+06
1.503141966090024084e-10, 1.005265418496582508e+08, 6.658112714787353761e+06
1.581248039270385857e-10, 1.074050485484297425e+08, 7.484158576752245426e+06
1.663412650370169698e-10, 1.203121306738032848e+08, 8.820192642703013495e+06
1.749846688624654551e-10, 1.360587543952765763e+08, 1.049417064191343635e+07
1.840772001468954491e-10, 1.481854867456732690e+08, 1.202494300007789396e+07
1.936421963946606826e-10, 1.702318320160233080e+08, 1.453371837788449228e+07
2.037042077705718970e-10, 1.835115217596136034e+08, 1.648393727747017704e+07
2.142890601120060623e-10, 2.046566026957802773e+08, 1.934141397370902449e+07
2.254239212152432687e-10, 2.220897965201543272e+08, 2.208306080012348294e+07
2.371373705661655168e-10, 2.463203200916298330e+08, 2.576930090025713667e+07
2.494594726942950709e-10, 2.668673978448131979e+08, 2.937469503192164376e+07
2.624218543384439019e-10, 2.927832834881038666e+08, 3.390810176642197371e+07
2.760577856220344782e-10, 3.184820208950127363e+08, 3.880838629192673415e+07
2.904022654464451017e-10, 3.459659920286069512e+08, 4.435696849780896306e+07
3.054921113215515548e-10, 3.735147544830166698e+08, 5.038816397059427202e+07
3.213660538640321425e-10, 4.049496977869781256e+08, 5.748029025704649091e+07
3.380648362059815113e-10, 4.310918893382083178e+08, 6.438576331014369428e+07
3.556313185689847556e-10, 4.560760464216283560e+08, 7.167449867645065486e+07
3.741105882720528966e-10, 4.867943921456097960e+08, 8.049815443800488114e+07
3.935500754557772142e-10, 5.117153419481556416e+08, 8.904049975655238330e+07
4.139996748197304272e-10, 5.329809305561850667e+08, 9.758785076604571939e+07
4.355118736855688095e-10, 5.517495395598925352e+08, 1.063059190936478674e+08
4.581418867145339649e-10, 5.638403859854708910e+08, 1.143167359289435446e+08
4.819477976251271319e-10, 5.770366016038182974e+08, 1.231125418609101176e+08
5.069907082747033666e-10, 5.871098498483779430e+08, 1.318169023347563893e+08
5.333348954876202279e-10, 5.897742277103531361e+08, 1.393471869124637246e+08
5.610479760324701077e-10, 5.879327136735683680e+08, 1.461870849793642461e+08
5.902010801718442306e-10, 5.850800991332873106e+08, 1.530997144644791186e+08
6.208690342300637909e-10, 5.809563691211374998e+08, 1.599887331906644702e+08
