# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
1.203716598799184794e+04, 9.638240795755380619e-01, 1.066686782732737623e+07, 1.028098406562772766e+07, 9.631830872480729595e+06, 1.046869872489241097e+05, 1.028290202922318276e+05
1.344734218792855427e+04, 9.699344211741841582e-01, 1.077369644767634198e+07, 1.044977902788331732e+07, 9.937876658915730193e+06, 1.128563697948651970e+05, 1.111927940238997253e+05
1.502272313097934057e+04, 9.751952780977871660e-01, 1.082180935375969484e+07, 1.055337738226092048e+07, 1.015567725809088908e+07, 1.199382536184666969e+05, 1.186223026889176690e+05
1.678266285754611454e+04, 9.800194931641994511e-01, 1.082522187389062718e+07, 1.060892845424029790e+07, 1.030761850429816917e+07, 1.251454067534913920e+05, 1.240787879552607192e+05
1.874878276956548143e+04, 9.838857956942611560e-01, 1.077269611705306731e+07, 1.059910269089923427e+07, 1.037438754053839110e+07, 1.293106797850489093e+05, 1.284275012923574832e+05
2.094523725609495159e+04, 9.870762625929644374e-01, 1.067017962977146357e+07, 1.053228103015039675e+07, 1.036831940522693843e+07, 1.334056876428225078e+05, 1.327262544949308503e+05
2.339901043742664478e+04, 9.898624516607757995e-01, 1.051927022598472610e+07, 1.041263061557544395e+07, 1.029405887269163504e+07, 1.352667698434853810e+05, 1.347424326523354102e+05
2.614024767332138435e+04, 9.919452440892954082e-01, 1.030750800566192530e+07, 1.022448354462868534e+07, 1.013997657669878751e+07, 1.357198868770878762e+05, 1.353130011587319896e+05
2.920262590804389038e+04, 9.937890668409015138e-01, 1.006441518920088932e+07, 1.000190577917534672e+07, 9.942365020860774443e+06, 1.360662864414475043e+05, 1.357651448782325897e+05
3.262376740200186396e+04, 9.951182094290291769e-01, 9.801046620447823778e+06, 9.753199963470475748e+06, 9.712438391099018976e+06, 1.335624574064504122e+05, 1.333571339393569215e+05
3.644570193280985404e+04, 9.962186978379823366e-01, 9.466636300673354417e+06, 9.430840088362583891e+06, 9.402764445856478065e+06, 1.320105600973705878e+05, 1.318543149116575660e+05
4.071538314406054269e+04, 9.970194491976126505e-01, 9.073187284300873056e+06, 9.046144188660439104e+06, 9.027638876395672560e+06, 1.267641008166964602e+05, 1.266395043603578379e+05
4.548526538530696416e+04, 9.977401919624070414e-01, 8.619826373192939907e+06, 8.600347220272142440e+06, 8.588204461314363405e+06, 1.215979159518929227e+05, 1.215196515483145340e+05
5.081394812991248909e+04, 9.982577271555661547e-01, 8.059276825640847906e+06, 8.045235366481758654e+06, 8.036957531955645420e+06, 1.143418937178971100e+05, 1.142834891093682963e+05
5.676689588764085056e+04, 9.985881736696176070e-01, 7.391911724206781015e+06, 7.381475628602683544e+06, 7.376439641064399853e+06, 1.050750734850418376e+05, 1.050328726891219849e+05
