# Binding energy = (13.2)*G_N*M_AMC^2/R_AMC
# Columns: deltaE/Ebind, deltaM/M, f_ej, E_i_unbound/E_i_total
2.273965752357927177e-05 3.998523983410392614e-08 3.985786852928408965e-07 1.355421087675234783e-07
2.552908068239516468e-05 5.464177633813052520e-08 5.421651592949709709e-07 1.466260760965668282e-07
2.866067616948250315e-05 7.425002389016346510e-08 7.342255387758096438e-07 1.624480347052557693e-07
3.217641750250735676e-05 1.003638528628599998e-07 9.886144433883871915e-07 1.763064484559273170e-07
3.612342699709430527e-05 1.349274292548991821e-07 1.327065612807524527e-06 1.952054023749441988e-07
4.055460735840827523e-05 1.817678049209470478e-07 1.784506886113346365e-06 2.144947777737977914e-07
4.552935074866947907e-05 2.440931485168576994e-07 2.391931821262900438e-06 2.321727314453864945e-07
5.111433483440165230e-05 3.272430859381733530e-07 3.201818626717240400e-06 2.570633796088799218e-07
5.738441648302393589e-05 4.383177584796769717e-07 4.286943486897337358e-06 2.832330437527484423e-07
6.442363508721369713e-05 5.859453435871688741e-07 5.727116914817933901e-06 3.164338615562557597e-07
7.232633896483533814e-05 7.842424087878864762e-07 7.660105528287417209e-06 3.508277392502442138e-07
8.119844993184009404e-05 1.047596539540933639e-06 1.022790686736856391e-05 3.829803425859340110e-07
9.115888299750819757e-05 1.400146248350365222e-06 1.366728943348098140e-05 4.257264454234039865e-07
1.023411402105453647e-04 1.870084912383020892e-06 1.824896570181130519e-05 4.749474170461486331e-07
1.148951000187309720e-04 2.496614206391692623e-06 2.435735085024750657e-05 5.374637258797764445e-07
1.289890261253309376e-04 3.334617342715101032e-06 3.252573935410783530e-05 5.983664455440032036e-07
1.448118227674534582e-04 4.450214249858762333e-06 4.340257371974187570e-05 6.472027538276092700e-07
1.625755666443794839e-04 5.939635207947945254e-06 5.791906160004544376e-05 7.076866031435242456e-07
1.825183494319044218e-04 7.927073812555762207e-06 7.729222570128947689e-05 7.800060019860796593e-07
2.049074689815848173e-04 1.057606068946670697e-05 1.031073522857032273e-04 8.608165700252020360e-07
2.300430119772919131e-04 1.410972693918276703e-05 1.375404663780741411e-04 9.553311524391850102e-07
2.582618760682677613e-04 1.881788739753210418e-05 1.834152441954172287e-04 1.063315627865611226e-06
2.899422853882878274e-04 2.509363206380541030e-05 2.445494153275703966e-04 1.207010316254414804e-06
3.255088599835059718e-04 3.345668225569634145e-05 3.260022882575493814e-04 1.379997015188431155e-06
3.654383070957257953e-04 4.459520416638649057e-05 4.344683695294641857e-04 1.563153943620744311e-06
4.102658105827194793e-04 5.942823808943526658e-05 5.788753366781534179e-04 1.792514602726182541e-06
4.605922041145108403e-04 7.917366446464150760e-05 7.710682552150815690e-04 2.102709112977314047e-06
5.170920242896760938e-04 1.054439872151631058e-04 1.026689766281108562e-03 2.505707447984619062e-06
5.805225516094901636e-04 1.403812972575737769e-04 1.366528750981290926e-03 3.072316532623374789e-06
6.517339604882426947e-04 1.868220184784167486e-04 1.818091519509105200e-03 3.755800089718783166e-06
7.316807143427199196e-04 2.485066874369378409e-04 2.417617064429448698e-03 4.775991812451573634e-06
8.214343584919431718e-04 3.303856297131171427e-04 3.213014325321573213e-03 6.270955508625255730e-06
9.221978823334331301e-04 4.389743682158621135e-04 4.267275526659814779e-03 8.428054396986673944e-06
1.035321843295662538e-03 5.828476493987887024e-04 5.663180179389082011e-03 1.151011196131354683e-05
1.162322468679853095e-03 7.732600129527109588e-04 7.509190329124755016e-03 1.595368939059132310e-05
1.304901978014402992e-03 1.024927288902569749e-03 9.946867866405082956e-03 2.238173947215992191e-05
1.464971398307286267e-03 1.357047636591665780e-03 1.316042894849498747e-02 3.158884449218607015e-05
1.644676177994664444e-03 1.794537312914841736e-03 1.738828186699880110e-02 4.490979838128753362e-05
