# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
4.800000000000000000e+02, 6.116000000000867409e-01, 1.281999077704708325e+06, 7.840706359243107727e+05, 5.592079976948593976e+05, 1.023199705823834051e+02, 7.439144843939847362e+01
5.300000000000000000e+02, 6.643999999998606576e-01, 1.407041474181759404e+06, 9.348383554461648455e+05, 6.955006006878984626e+05, 1.351429655633347693e+02, 1.050859869844068584e+02
5.900000000000000000e+02, 7.059999999998537445e-01, 1.555087627516285982e+06, 1.097891865026270505e+06, 8.139328642418311210e+05, 1.566539445447109529e+02, 1.158975534799537144e+02
6.500000000000000000e+02, 7.465000000000254765e-01, 1.700980213275350165e+06, 1.269781729210092220e+06, 9.789141127400365658e+05, 2.038469682505678975e+02, 1.477496752664017095e+02
7.100000000000000000e+02, 7.838000000000738821e-01, 1.844753952988588018e+06, 1.445918148352591554e+06, 1.145407729410853237e+06, 2.033152801200956503e+02, 1.572505455941113439e+02
7.900000000000000000e+02, 8.198000000000101872e-01, 2.033215069773256080e+06, 1.666829714200136019e+06, 1.360220881678346312e+06, 2.815946198291643441e+02, 2.230600740544820724e+02
8.700000000000000000e+02, 8.527999999999806846e-01, 2.218048793918560259e+06, 1.891552011453705374e+06, 1.565277033868369414e+06, 3.425478736144507934e+02, 2.773201012577200686e+02
9.600000000000000000e+02, 8.881000000000873751e-01, 2.421746647336548194e+06, 2.150753197499800008e+06, 1.837621355999179184e+06, 4.280620170408761851e+02, 3.464625119271852896e+02
1.060000000000000000e+03, 9.037999999999462020e-01, 2.642937091946055647e+06, 2.388686543700702954e+06, 2.088713183764665155e+06, 4.942419261339805985e+02, 4.313761012236582815e+02
1.170000000000000000e+03, 9.288000000000394829e-01, 2.880160662165575661e+06, 2.675093223019500263e+06, 2.405510185040951706e+06, 5.829516007871683314e+02, 5.018203581548968373e+02
1.300000000000000000e+03, 9.497999999999999776e-01, 3.152538387416860554e+06, 2.994280960368534084e+06, 2.726945705115584191e+06, 6.486051104500231759e+02, 5.822099944586392439e+02
1.430000000000000000e+03, 9.641000000000119474e-01, 3.416549624135926832e+06, 3.293895492629487999e+06, 3.071819767060726881e+06, 7.577794105720090556e+02, 7.060832367875702857e+02
1.580000000000000000e+03, 9.716000000000075687e-01, 3.711146454220693558e+06, 3.605749894920853898e+06, 3.408316903556365520e+06, 8.724296961374745933e+02, 8.092213298241837265e+02
1.750000000000000000e+03, 9.771999999999945175e-01, 4.032525622750594281e+06, 3.940584038551858626e+06, 3.781299276453171857e+06, 9.354003125182908889e+02, 8.839959785310164762e+02
1.930000000000000000e+03, 9.839999999999837765e-01, 4.358944940963069908e+06, 4.289201821907590143e+06, 4.138382326950175222e+06, 1.012306013255990365e+03, 9.783130324776798261e+02
2.130000000000000000e+03, 9.877000000000001334e-01, 4.705673535438316874e+06, 4.647793750952426344e+06, 4.523563969616856426e+06, 1.069314993463186511e+03, 1.010277359801914827e+03
2.350000000000000000e+03, 9.918000000000050109e-01, 5.068630692533496767e+06, 5.027067920854747295e+06, 4.930763937696669251e+06, 1.145994550652902717e+03, 1.120392390544904401e+03
2.590000000000000000e+03, 9.955999999999992633e-01, 5.443731408164915629e+06, 5.419778989968986250e+06, 5.340300511409766041e+06, 1.336651902797096454e+03, 1.314437954166306554e+03
2.860000000000000000e+03, 9.961000000000017618e-01, 5.841237906983973458e+06, 5.818457079146746546e+06, 5.765301814193217084e+06, 1.302908971059408486e+03, 1.278910277604997873e+03
3.160000000000000000e+03, 9.970000000000001084e-01, 6.254463247163379565e+06, 6.235699857421889901e+06, 6.181911473496286198e+06, 1.371277265273193279e+03, 1.356046359866526473e+03
3.490000000000000000e+03, 9.979999999999993321e-01, 6.676857120401817374e+06, 6.663503406161009334e+06, 6.629451434846948832e+06, 1.563006391470834160e+03, 1.558201521890044660e+03
3.850000000000000000e+03, 9.979999999999999982e-01, 7.102160085719043389e+06, 7.087955765547605231e+06, 7.050314317093294114e+06, 1.667848507203657846e+03, 1.664216349931219384e+03
4.250000000000000000e+03, 9.994000000000000661e-01, 7.534867691490961239e+06, 7.530346770876066759e+06, 7.508495654570743442e+06, 1.890886599156293641e+03, 1.887820837491736484e+03
4.690000000000000000e+03, 9.993000000000001881e-01, 7.966717032271085307e+06, 7.961140330348497257e+06, 7.936443507548464462e+06, 2.026389251768958729e+03, 2.023587591568127891e+03
5.170000000000000000e+03, 9.995000000000000551e-01, 8.390176386423401535e+06, 8.385981298230189830e+06, 8.371717998373270035e+06, 1.950615742076149900e+03, 1.950015171698897575e+03
5.710000000000000000e+03, 9.997000000000002551e-01, 8.813335541066747159e+06, 8.810691540404429659e+06, 8.800996871309265494e+06, 1.981579510339760873e+03, 1.980398492913366908e+03
6.300000000000000000e+03, 9.999000000000001220e-01, 9.218495342086303979e+06, 9.217573492552096024e+06, 9.213886094415264204e+06, 2.167162632108989328e+03, 2.165914916401710343e+03
6.960000000000000000e+03, 9.997999999999998000e-01, 9.609618829369278625e+06, 9.607696905603403226e+06, 9.603853058071652427e+06, 2.348923167339282372e+03, 2.348916502879861127e+03
7.680000000000000000e+03, 9.998000000000000220e-01, 9.971329032089557499e+06, 9.969334766283139586e+06, 9.967340500476721674e+06, 2.258763393321087733e+03, 2.258763393321087733e+03
8.470000000000000000e+03, 1.000000000000000000e+00, 1.030121911768021248e+07, 1.030121911768021248e+07, 1.029915887385667674e+07, 2.581141947260743564e+03, 2.581141309090825871e+03
9.350000000000000000e+03, 1.000000000000000000e+00, 1.059867476234062947e+07, 1.059867476234062947e+07, 1.059867476234062947e+07, 2.318032175636069496e+03, 2.318032175636069496e+03
1.032000000000000000e+04, 9.999000000000000110e-01, 1.085499426973973028e+07, 1.085390877031275630e+07, 1.085390877031275630e+07, 2.318385736055977304e+03, 2.318385736055977304e+03
1.139000000000000000e+04, 9.999000000000000110e-01, 1.106597722843455523e+07, 1.106487063071171194e+07, 1.106487063071171194e+07, 2.653427661181685835e+03, 2.653427661181685835e+03
1.257000000000000000e+04, 1.000000000000000000e+00, 1.122781943147316948e+07, 1.122781943147316948e+07, 1.122781943147316948e+07, 2.714595770255496518e+03, 2.714595770255496518e+03
1.387000000000000000e+04, 1.000000000000000000e+00, 1.133753140267148428e+07, 1.133753140267148428e+07, 1.133753140267148428e+07, 2.601847623544605540e+03, 2.601847623544605540e+03
1.531000000000000000e+04, 1.000000000000000000e+00, 1.139343937298143655e+07, 1.139343937298143655e+07, 1.139343937298143655e+07, 2.573710489666823378e+03, 2.573710489666823378e+03
1.690000000000000000e+04, 1.000000000000000000e+00, 1.139395113706620969e+07, 1.139395113706620969e+07, 1.139395113706620969e+07, 2.696637664409076478e+03, 2.696637664409076478e+03
1.865000000000000000e+04, 1.000000000000000000e+00, 1.133926085275183804e+07, 1.133926085275183804e+07, 1.133926085275183804e+07, 2.589090763621441511e+03, 2.589090763621441511e+03
2.058000000000000000e+04, 1.000000000000000000e+00, 1.123058150953981839e+07, 1.123058150953981839e+07, 1.123058150953981839e+07, 2.661635349299646350e+03, 2.661635349299646350e+03
2.272000000000000000e+04, 1.000000000000000000e+00, 1.106911227943199314e+07, 1.106911227943199314e+07, 1.106911227943199314e+07, 2.725566173531318327e+03, 2.725566173531318327e+03
2.507000000000000000e+04, 1.000000000000000000e+00, 1.085945744441819377e+07, 1.085945744441819377e+07, 1.085945744441819377e+07, 2.557973995819325864e+03, 2.557973995819325864e+03
2.767000000000000000e+04, 1.000000000000000000e+00, 1.060404577268978953e+07, 1.060404577268978953e+07, 1.060404577268978953e+07, 2.381463190210447465e+03, 2.381463190210447465e+03
3.054000000000000000e+04, 1.000000000000000000e+00, 1.030783544944643788e+07, 1.030783544944643788e+07, 1.030783544944643788e+07, 2.394592401756036907e+03, 2.394592401756036907e+03
3.370000000000000000e+04, 1.000000000000000000e+00, 9.976696094628049061e+06, 9.976696094628049061e+06, 9.976696094628049061e+06, 2.292658190757286775e+03, 2.292658190757286775e+03
3.719000000000000000e+04, 1.000000000000000000e+00, 9.615021632357172668e+06, 9.615021632357172668e+06, 9.615021632357172668e+06, 2.241402305666519624e+03, 2.241402305666519624e+03
4.105000000000000000e+04, 1.000000000000000000e+00, 9.227758494207784534e+06, 9.227758494207784534e+06, 9.227758494207784534e+06, 2.235486903213361984e+03, 2.235486903213361984e+03
4.530000000000000000e+04, 1.000000000000000000e+00, 8.822201797385210171e+06, 8.822201797385210171e+06, 8.822201797385210171e+06, 1.946303806256938969e+03, 1.946303806256938969e+03
5.000000000000000000e+04, 1.000000000000000000e+00, 8.401998761035505682e+06, 8.401998761035505682e+06, 8.401998761035505682e+06, 1.851075830752944512e+03, 1.851075830752944512e+03
