# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
8.470000000000000000e+03, 9.999600000000000710e-01, 1.030121911765951663e+07, 1.030080706889481097e+07, 1.029936489821834117e+07, 2.700828676885778350e+03, 2.700538219868965825e+03
9.350000000000000000e+03, 9.999200000000005861e-01, 1.059867476232248545e+07, 1.059782686834150553e+07, 1.059666101411765814e+07, 2.838914775196396931e+03, 2.838903236011694389e+03
1.032000000000000000e+04, 9.999900000000000455e-01, 1.085499426971866004e+07, 1.085488571977596357e+07, 1.085456006994787417e+07, 2.908487150857263259e+03, 2.908487150857263259e+03
1.139000000000000000e+04, 9.999799999999999800e-01, 1.106597722843311355e+07, 1.106575590888854489e+07, 1.106564524911626056e+07, 3.076126304367320699e+03, 3.075479490929369604e+03
1.257000000000000000e+04, 9.999900000000000455e-01, 1.122781943145558983e+07, 1.122770715326127596e+07, 1.122759487506696209e+07, 2.989332651459767021e+03, 2.989332619713258737e+03
1.387000000000000000e+04, 9.999899999999999345e-01, 1.133753140269315429e+07, 1.133741802737912722e+07, 1.133741802737912722e+07, 3.057721278366407205e+03, 3.057721278366407205e+03
1.531000000000000000e+04, 1.000000000000000000e+00, 1.139343937299718522e+07, 1.139343937299718522e+07, 1.139343937299718522e+07, 3.020143048358776468e+03, 3.020143048358776468e+03
1.690000000000000000e+04, 1.000000000000000000e+00, 1.139395113705646619e+07, 1.139395113705646619e+07, 1.139395113705646619e+07, 3.072926973232649289e+03, 3.072926973232649289e+03
1.865000000000000000e+04, 1.000000000000000000e+00, 1.133926085272638500e+07, 1.133926085272638500e+07, 1.133926085272638500e+07, 3.028837399286488107e+03, 3.028837399286488107e+03
2.058000000000000000e+04, 1.000000000000000000e+00, 1.123058150952210277e+07, 1.123058150952210277e+07, 1.123058150952210277e+07, 3.027818651332528134e+03, 3.027818651332528134e+03
2.272000000000000000e+04, 1.000000000000000000e+00, 1.106911227944797277e+07, 1.106911227944797277e+07, 1.106911227944797277e+07, 2.921111068374074875e+03, 2.921111068374074875e+03
2.507000000000000000e+04, 1.000000000000000000e+00, 1.085945744440381601e+07, 1.085945744440381601e+07, 1.085945744440381601e+07, 2.921876979435195608e+03, 2.921876979435195608e+03
2.767000000000000000e+04, 1.000000000000000000e+00, 1.060404577268343978e+07, 1.060404577268343978e+07, 1.060404577268343978e+07, 2.887047063696320038e+03, 2.887047063696320038e+03
3.054000000000000000e+04, 1.000000000000000000e+00, 1.030783544946077466e+07, 1.030783544946077466e+07, 1.030783544946077466e+07, 2.800527999668433949e+03, 2.800527999668433949e+03
3.370000000000000000e+04, 1.000000000000000000e+00, 9.976696094624362886e+06, 9.976696094624362886e+06, 9.976696094624362886e+06, 2.715303606100524121e+03, 2.715303606100524121e+03
3.719000000000000000e+04, 1.000000000000000000e+00, 9.615021632359474897e+06, 9.615021632359474897e+06, 9.615021632359474897e+06, 2.577498256371761727e+03, 2.577498256371761727e+03
4.105000000000000000e+04, 1.000000000000000000e+00, 9.227758494206039235e+06, 9.227758494206039235e+06, 9.227758494206039235e+06, 2.437086719306090345e+03, 2.437086719306090345e+03
4.530000000000000000e+04, 1.000000000000000000e+00, 8.822201797371417284e+06, 8.822201797371417284e+06, 8.822201797371417284e+06, 2.331903439389069263e+03, 2.331903439389069263e+03
5.000000000000000000e+04, 1.000000000000000000e+00, 8.401998761022495106e+06, 8.401998761022495106e+06, 8.401998761022495106e+06, 2.259488791956784553e+03, 2.259488791956784553e+03
