# Binding energy = (3.46)*G_N*M_AMC^2/R_AMC
# Columns: deltaE/Ebind, deltaM/M, f_ej, E_i_unbound/E_i_total
1.448118227674534582e-04 6.687793579544956804e-08 4.322311818381011395e-07 5.088893850636377361e-07
1.625755666443795110e-04 9.146394030388999563e-08 5.881783394805268996e-07 5.564429594971948523e-07
1.825183494319044218e-04 1.241774650732682243e-07 7.961764819951463126e-07 6.169392475535385049e-07
2.049074689815848173e-04 1.678550225331540264e-07 1.072018853998105888e-06 6.818976743134497479e-07
2.300430119772918860e-04 2.260616456197619494e-07 1.440795424076567075e-06 7.687888662191418294e-07
2.582618760682677613e-04 3.040410204523625072e-07 1.935143620150268891e-06 8.473165650816845487e-07
2.899422853882878274e-04 4.081875817289538718e-07 2.593530539711634049e-06 9.253403572641731890e-07
3.255088599835059718e-04 5.472400888045223458e-07 3.471649628534741179e-06 1.201986914708051226e-08
3.654383070957257953e-04 7.329151584043951675e-07 4.648001917659118134e-06 2.337192859454134532e-08
4.102658105827194793e-04 9.805547619915546496e-07 6.212484164294105051e-06 0.000000000000000000e+00
4.605922041145108403e-04 1.311499035012291141e-06 8.305384877619902985e-06 0.000000000000000000e+00
5.170920242896760938e-04 1.751585215644665695e-06 1.108840812753712810e-05 0.000000000000000000e+00
5.805225516094901636e-04 2.340855759712811716e-06 1.481648135332564261e-05 0.000000000000000000e+00
6.517339604882426947e-04 3.126728210026179365e-06 1.978336330125140101e-05 0.000000000000000000e+00
7.316807143427199196e-04 4.173654249451346491e-06 2.640312704591464592e-05 0.000000000000000000e+00
8.214343584919430634e-04 5.574338396434676222e-06 3.525579426315050304e-05 0.000000000000000000e+00
9.221978823334330217e-04 7.438802522822813181e-06 4.704288449946926009e-05 0.000000000000000000e+00
1.035321843295662538e-03 9.927763147885209028e-06 6.277279492736593147e-05 0.000000000000000000e+00
1.162322468679853095e-03 1.324873740430025925e-05 8.376346358179686928e-05 0.000000000000000000e+00
1.304901978014402992e-03 1.767470016832542511e-05 1.117309621911474255e-04 0.000000000000000000e+00
1.464971398307286267e-03 2.357811244870472960e-05 1.490302609852232343e-04 0.000000000000000000e+00
1.644676177994664444e-03 3.144272430230380441e-05 1.987173572608742604e-04 0.000000000000000000e+00
1.846424942895544133e-03 4.192416540118518024e-05 2.649213738719875073e-04 0.000000000000000000e+00
2.072921779595371904e-03 5.588955287738657930e-05 3.531140768864190734e-04 0.000000000000000000e+00
2.327202478960409531e-03 7.448630590611168508e-05 4.705330041673950288e-04 0.000000000000000000e+00
2.612675225563328932e-03 9.924623652915546537e-05 6.268250399778847346e-04 0.000000000000000000e+00
2.933166278390045463e-03 1.321986318422922833e-04 8.347863574579663434e-04 0.000000000000000000e+00
3.292971255097151308e-03 1.760297978089893551e-04 1.111305636003076741e-03 2.012704500947142112e-06
3.696912707195028347e-03 2.343019659080648406e-04 1.478809358227398249e-03 6.338508770603465880e-06
4.150404757850476717e-03 3.117368061326358081e-04 1.966965902080419683e-03 1.357429378996238360e-05
4.659525668664682083e-03 4.145510061648438995e-04 2.614821149795650088e-03 4.149326654535546641e-05
5.231099308056263129e-03 5.509676227259340496e-04 3.473959398583050667e-03 5.493275749425661250e-05
5.872786613189483196e-03 7.317992497593397202e-04 4.612139221530066335e-03 7.659673180329512317e-05
6.593188271333548338e-03 9.712640865299491163e-04 6.118322534558102467e-03 1.128216517636283881e-04
