# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
9.417670445762749978e+02, 8.877286285317192993e-01, 2.899805652203164063e+06, 2.574240494638842531e+06, 2.298247201987909153e+06, 5.353177157047468882e+02, 4.714485913231297900e+02
1.052096791085630684e+03, 9.090290101500611009e-01, 3.156941909648216795e+06, 2.869751779228762258e+06, 2.596028942134354264e+06, 6.137433069272298098e+02, 5.496399563793888774e+02
1.175351870919105522e+03, 9.260040143091821108e-01, 3.431247913401602767e+06, 3.177349341899889056e+06, 2.914537394686744083e+06, 6.959394339004951462e+02, 6.276608870513770171e+02
1.313046510718427498e+03, 9.410348846249347865e-01, 3.732194040056985337e+06, 3.512124787882894278e+06, 3.262265405591339804e+06, 7.901973469887301462e+02, 7.212183822932479416e+02
1.466872331569631797e+03, 9.533117517835096866e-01, 4.066419554664194584e+06, 3.876565549143642653e+06, 3.640886479780767113e+06, 8.765071693930484571e+02, 8.156419269225957578e+02
1.638719131089444090e+03, 9.642727473998271570e-01, 4.408610837087284774e+06, 4.251103284094807692e+06, 4.035117724084964488e+06, 9.777768308751327595e+02, 9.180386742752732516e+02
1.830698100171417309e+03, 9.721396671778098630e-01, 4.764797088968523778e+06, 4.632048256239658222e+06, 4.438157458341582678e+06, 1.096020162384872719e+03, 1.037581214949427249e+03
2.045167759616708281e+03, 9.797138611212464765e-01, 5.125561615562777966e+06, 5.021583760797862895e+06, 4.850612185734159313e+06, 1.213217422529781970e+03, 1.155383492560176592e+03
2.284762935288990320e+03, 9.849130806559048823e-01, 5.496851754222430289e+06, 5.413921195160028525e+06, 5.265589273797568865e+06, 1.328497098962995778e+03, 1.280355162748967587e+03
2.552427127762217424e+03, 9.888406983723098120e-01, 5.883738025708117522e+06, 5.818079618380930275e+06, 5.692821163341887295e+06, 1.405877471399368687e+03, 1.366004632387774564e+03
2.851448674132330325e+03, 9.916780994279936756e-01, 6.306789872242495418e+06, 6.254305393997156993e+06, 6.147568958342225291e+06, 1.534619381514209181e+03, 1.493401569828568199e+03
3.185501146251913724e+03, 9.937251371484595586e-01, 6.727426618821590208e+06, 6.685212939444682561e+06, 6.596634767196006142e+06, 1.621671177129838270e+03, 1.585845926484084657e+03
3.558688481692563983e+03, 9.954588505813330990e-01, 7.183175169823931530e+06, 7.150555298077302985e+06, 7.078929649853628129e+06, 1.738289939641037790e+03, 1.706661266379244353e+03
3.975595401882746501e+03, 9.966704911803608846e-01, 7.603817570810449310e+06, 7.578500593145509250e+06, 7.523117714477937669e+06, 1.866288542810069657e+03, 1.846060098505459791e+03
4.441343736823509971e+03, 9.978575033142743633e-01, 7.982813113678794354e+06, 7.965709963039970025e+06, 7.920631205756415613e+06, 1.945843511768284316e+03, 1.926491360060034367e+03
4.961655348348546795e+03, 9.983044893230529349e-01, 8.391196762635711581e+06, 8.376969398932298645e+06, 8.342302090538631193e+06, 2.057084549135248835e+03, 2.041135060673470889e+03
5.542922424960239368e+03, 9.988908087344975373e-01, 8.775360957375321537e+06, 8.765627403649769723e+06, 8.739115967116113752e+06, 2.123910951590553395e+03, 2.112897963192618136e+03
6.192286011835419231e+03, 9.992988821547138523e-01, 9.175923362666785717e+06, 9.169489959050241858e+06, 9.148496146791802719e+06, 2.168224354407626379e+03, 2.157885233641533887e+03
6.917723740766163246e+03, 9.994468465375628830e-01, 9.502907224321745336e+06, 9.497650658287392929e+06, 9.484005571589458734e+06, 2.242418365760271627e+03, 2.239105583681577627e+03
7.728147837824985800e+03, 9.996254800615160807e-01, 9.818809422209907323e+06, 9.815132082309115678e+06, 9.805516860112017021e+06, 2.346569385487565341e+03, 2.343786195961743033e+03
