# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3]
5.284770204694519435e+01, 2.290920384014148714e-01, 1.075770141690770251e+05, 2.464503746113174566e+04, 1.586612327300881407e+04
5.903890782763249945e+01, 2.294119561356970372e-01, 1.341582023305638577e+05, 3.077749562830328432e+04, 1.985040024693770829e+04
6.595542478617888094e+01, 2.308897642061671918e-01, 1.661517765526342264e+05, 3.836274451067349582e+04, 2.488810388987583428e+04
7.368222446502095124e+01, 2.331321381501522960e-01, 2.050874157408690371e+05, 4.781246773935799865e+04, 3.117202798601189352e+04
8.231423297953507756e+01, 2.363033281285488729e-01, 2.508551392214992084e+05, 5.927790427619074035e+04, 3.877015701038030966e+04
9.195749721462016169e+01, 2.420431548581079284e-01, 3.042934021626033937e+05, 7.365213506194352522e+04, 4.845232445084720530e+04
1.027304876433610872e+02, 2.497987474547782860e-01, 3.646668175814250717e+05, 9.109331427016010275e+04, 6.050186579379629256e+04
1.147655537733020736e+02, 2.597389577733812405e-01, 4.319150496636462631e+05, 1.121851648462736775e+05, 7.513784430834592786e+04
1.282105501009355635e+02, 2.738564157868592086e-01, 5.031607516355333501e+05, 1.377938000075292075e+05, 9.339129138839271036e+04
1.432306525497589575e+02, 2.927391855530992459e-01, 5.732663967878218973e+05, 1.678175381006268144e+05, 1.151986392219815170e+05
1.600103877074003265e+02, 3.178498393993748894e-01, 6.382889157660192577e+05, 2.028800293666303623e+05, 1.414409354977603653e+05
1.787558997916165993e+02, 3.527992180340821515e-01, 6.920058082167013781e+05, 2.441391080138952530e+05, 1.733524641655263549e+05
