# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
3.110437071148807604e+02, 5.739925523494784354e-01, 1.105895296431927010e+06, 6.347756638302447973e+05, 2.012552275101924170e+04, 8.370597217811763358e+01, 3.725785705833311567e+01
3.474830511723650943e+02, 5.837461319335930376e-01, 1.224447137632054975e+06, 7.147662803498719586e+05, 2.544054967081566792e+04, 1.054069815568462900e+02, 4.727617856089823078e+01
3.881913316042777637e+02, 5.941361376953263607e-01, 1.353926101434382377e+06, 8.044164246311145835e+05, 3.317343164258013712e+04, 1.322765213653274827e+02, 5.966264610875051488e+01
4.336686621816065781e+02, 6.041417368823043255e-01, 1.495352504988809349e+06, 9.034048596152439713e+05, 4.300762790286094969e+04, 1.715797185059223295e+02, 7.908479748276329246e+01
4.844737459261492631e+02, 6.147346409414196078e-01, 1.651535911927777342e+06, 1.015256335820782231e+06, 5.528226937238275423e+04, 2.196870771499546038e+02, 1.036978212581722261e+02
5.412307389493225855e+02, 6.256296813820885205e-01, 1.817424646099969745e+06, 1.137034802275479073e+06, 7.107311615103851364e+04, 2.819380062298203597e+02, 1.365536709375077749e+02
6.046369184023494654e+02, 6.369108663307082585e-01, 2.001341959431610769e+06, 1.274676441205584444e+06, 9.099094788943095773e+04, 3.566111886474531616e+02, 1.755652588895500230e+02
6.754712487409561845e+02, 6.487154162847609262e-01, 2.198490980659023393e+06, 1.426194991716510616e+06, 1.168479850906625361e+05, 4.541304264919095885e+02, 2.297254465632493066e+02
7.546039515437796581e+02, 6.592771639929808636e-01, 2.410773685205567628e+06, 1.589368038211233914e+06, 1.501330531848421961e+05, 5.784922507635884585e+02, 2.991762062486209288e+02
8.430071964526541706e+02, 6.709504300947058963e-01, 2.638950248983438592e+06, 1.770604804553969298e+06, 1.930091106805087766e+05, 7.373127907114591153e+02, 3.968192126958512063e+02
