# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
3.300000000000000000e+02, 5.126999999998732571e-01, 8.975410916979031172e+05, 4.601693177134011639e+05, 5.385246550186706145e+02, 7.062037666900360833e+00, 2.532193285274729477e-02
3.600000000000000000e+02, 5.224999999998869438e-01, 9.755698428987361258e+05, 5.097352429144792841e+05, 3.902279371594480608e+02, 9.702811893594953219e+00, 1.310269026276594433e-06
4.000000000000000000e+02, 5.349000000000756483e-01, 1.078717267414567759e+06, 5.770058663401339436e+05, 5.393586337073193135e+02, 1.315850148140861009e+01, 4.278401455645906241e-04
4.400000000000000000e+02, 5.384000000000760400e-01, 1.180856688555990579e+06, 6.357732411186351674e+05, 5.904283442780590576e+02, 1.757721552241764584e+01, 2.359906997152727787e-04
4.800000000000000000e+02, 5.535000000000749321e-01, 1.281999077704708325e+06, 7.095864895096521359e+05, 7.691994466228642295e+02, 2.225252828315900544e+01, 4.702957371034995754e-02
5.300000000000000000e+02, 5.562999999998836653e-01, 1.407041474181759404e+06, 7.827371720871489961e+05, 1.547745621599655351e+03, 2.617221569651108481e+01, 1.990238328233584764e-01
5.900000000000000000e+02, 5.817999999998612060e-01, 1.555087627516285982e+06, 9.047499816887594061e+05, 4.198736594293224698e+03, 3.813154249546613528e+01, 1.266668827014994503e-01
6.500000000000000000e+02, 5.846000000000417529e-01, 1.700980213275350165e+06, 9.943930326808406971e+05, 5.783332725137309353e+03, 5.665845056988879236e+01, 4.800853816270941876e-01
7.100000000000000000e+02, 6.087000000001336897e-01, 1.844753952988588018e+06, 1.122901731184400152e+06, 5.903212649564663479e+03, 6.683299866387991983e+01, 1.298025568577806599e+00
7.900000000000000000e+02, 6.105000000000220250e-01, 2.033215069773256080e+06, 1.241277800096617546e+06, 1.240261192561827738e+04, 1.011901344486588670e+02, 3.645261711112985026e+00
8.700000000000000000e+02, 6.278000000000387715e-01, 2.218048793918560259e+06, 1.392491032822158188e+06, 2.107146354222882655e+04, 1.397791737817923376e+02, 2.455976379015166522e+00
9.600000000000000000e+02, 6.374000000000632493e-01, 2.421746647336548194e+06, 1.543621313012469094e+06, 3.317792906850913278e+04, 1.767359471461543023e+02, 5.810126270236960266e+00
1.060000000000000000e+03, 6.611999999999270683e-01, 2.642937091946055647e+06, 1.747510005194539204e+06, 5.840890973200669396e+04, 2.869601685834167597e+02, 2.859616050984881142e+01
1.170000000000000000e+03, 6.666000000001349735e-01, 2.880160662165575661e+06, 1.919915097399961436e+06, 8.237259493794354785e+04, 3.658688978709533330e+02, 4.904170254187495459e+01
1.300000000000000000e+03, 6.826999999999998625e-01, 3.152538387416860554e+06, 2.152237957089490257e+06, 1.283083123678650736e+05, 5.146473364552181238e+02, 7.961380534739163295e+01
1.430000000000000000e+03, 7.093000000000970751e-01, 3.416549624135926832e+06, 2.423358648399944417e+06, 2.080678721098984242e+05, 7.407012429102146598e+02, 1.278591907993410359e+02
1.580000000000000000e+03, 7.110000000000769038e-01, 3.711146454220693558e+06, 2.638625128951198421e+06, 3.109940728637092980e+05, 9.643001951629012183e+02, 3.432408701354694927e+02
1.750000000000000000e+03, 7.302999999999351122e-01, 4.032525622750594281e+06, 2.944953462294497527e+06, 4.472070915629690280e+05, 1.463874806468158795e+03, 4.795747852360738648e+02
1.930000000000000000e+03, 7.477999999999737080e-01, 4.358944940963069908e+06, 3.259619026852068957e+06, 6.643032090028007515e+05, 1.964731465988151285e+03, 7.946267201817125851e+02
2.130000000000000000e+03, 7.709000000000029162e-01, 4.705673535438316874e+06, 3.627603728469412308e+06, 9.190180414711526828e+05, 2.688790826942618878e+03, 1.291046940390815280e+03
2.350000000000000000e+03, 7.878000000000922043e-01, 5.068630692533496767e+06, 3.993067259578356054e+06, 1.233704710562655237e+06, 3.805236673719280589e+03, 1.878754461711425165e+03
2.590000000000000000e+03, 7.978999999999684123e-01, 5.443731408164915629e+06, 4.343553290574613959e+06, 1.577048988944993122e+06, 5.132414562378543451e+03, 3.001356478618014080e+03
2.860000000000000000e+03, 8.167000000000851356e-01, 5.841237906983973458e+06, 4.770538998634308577e+06, 2.089994923118934035e+06, 7.055671610395351308e+03, 4.526625535762143045e+03
3.160000000000000000e+03, 8.226000000000044388e-01, 6.254463247163379565e+06, 5.144921467116624117e+06, 2.563704485012362711e+06, 8.889544664533759715e+03, 6.209259704718271678e+03
3.490000000000000000e+03, 8.531999999999515527e-01, 6.676857120401817374e+06, 5.696694495126507245e+06, 3.222918932017495390e+06, 1.198601271097650351e+04, 9.428267759436859706e+03
3.850000000000000000e+03, 8.650999999999993140e-01, 7.102160085719043389e+06, 6.144078690155539662e+06, 3.879910054828297812e+06, 1.460273688665290683e+04, 1.131891302280292075e+04
4.250000000000000000e+03, 8.841000000000024395e-01, 7.534867691490961239e+06, 6.661576526047177613e+06, 4.555581006275499240e+06, 1.992432365339362877e+04, 1.621622667412785631e+04
4.690000000000000000e+03, 8.927000000000329116e-01, 7.966717032271085307e+06, 7.111888294708659872e+06, 5.369567279751507565e+06, 2.457817520176477774e+04, 2.182008959176246935e+04
5.170000000000000000e+03, 9.089999999999999192e-01, 8.390176386423401535e+06, 7.626670335258871317e+06, 6.113082515148088336e+06, 3.048333761494604187e+04, 2.745455551358126104e+04
5.710000000000000000e+03, 9.231000000000429973e-01, 8.813335541066747159e+06, 8.135590037959093228e+06, 6.880571056911060587e+06, 4.118205009287832218e+04, 3.851292173677451501e+04
6.300000000000000000e+03, 9.317000000000500437e-01, 9.218495342086303979e+06, 8.588872110222270712e+06, 7.636601541384693235e+06, 5.095858114286765340e+04, 4.766426399784747628e+04
6.960000000000000000e+03, 9.447999999999556753e-01, 9.609618829369278625e+06, 9.079167869987668470e+06, 8.281569507149481215e+06, 6.164588169682290027e+04, 5.901831831948473700e+04
7.680000000000000000e+03, 9.570999999999999508e-01, 9.971329032089557499e+06, 9.543559016612915322e+06, 8.942287875977914780e+06, 6.830010118379200867e+04, 6.620864138328895206e+04
8.470000000000000000e+03, 9.641000000000052861e-01, 1.030121911768021248e+07, 9.931405351355547085e+06, 9.532748171501381323e+06, 7.745041714145004516e+04, 7.579120586503905361e+04
9.350000000000000000e+03, 9.751999999999965141e-01, 1.059867476234062947e+07, 1.033582762823454477e+07, 1.006874102422352321e+07, 9.145239920169900870e+04, 9.025906654660694767e+04
1.032000000000000000e+04, 9.802999999999998382e-01, 1.085499426973973028e+07, 1.064115088262585551e+07, 1.046964197316396609e+07, 1.098929790041456872e+05, 1.089424867111661006e+05
1.139000000000000000e+04, 9.890000000000016556e-01, 1.106597722843455523e+07, 1.094425147892179340e+07, 1.085240386792580038e+07, 1.091016209989306080e+05, 1.089085685350418498e+05
1.257000000000000000e+04, 9.908999999999944519e-01, 1.122781943147316948e+07, 1.112564627464670129e+07, 1.108298056080707721e+07, 1.222652859788468195e+05, 1.215650926958044147e+05
1.387000000000000000e+04, 9.949000000000007837e-01, 1.133753140267148428e+07, 1.127970999251786806e+07, 1.125363367029172741e+07, 1.250029797559093131e+05, 1.249700879767595761e+05
1.531000000000000000e+04, 9.976999999999996982e-01, 1.139343937298143655e+07, 1.136723446242357604e+07, 1.136039839879978634e+07, 1.362966276297602744e+05, 1.356874467712974001e+05
1.690000000000000000e+04, 9.985000000000000542e-01, 1.139395113706620969e+07, 1.137686021036061086e+07, 1.137230262990578450e+07, 1.503586052452239092e+05, 1.503585781680555665e+05
1.865000000000000000e+04, 9.989000000000004542e-01, 1.133926085275183804e+07, 1.132678766581381671e+07, 1.132565373972854204e+07, 1.482511015954425093e+05, 1.482511015907284163e+05
2.058000000000000000e+04, 9.992999999999996330e-01, 1.123058150953981839e+07, 1.122272010248313658e+07, 1.122272010248313658e+07, 1.515248291451741825e+05, 1.515248291451741825e+05
2.272000000000000000e+04, 9.998000000000000220e-01, 1.106911227943199314e+07, 1.106689845697610639e+07, 1.106689845697610639e+07, 1.546941769704176695e+05, 1.546941769704176695e+05
2.507000000000000000e+04, 1.000000000000000000e+00, 1.085945744441819377e+07, 1.085945744441819377e+07, 1.085945744441819377e+07, 1.403893169870261627e+05, 1.403893169870261627e+05
2.767000000000000000e+04, 1.000000000000000000e+00, 1.060404577268978953e+07, 1.060404577268978953e+07, 1.060404577268978953e+07, 1.458990279077770829e+05, 1.458990279077770829e+05
3.054000000000000000e+04, 1.000000000000000000e+00, 1.030783544944643788e+07, 1.030783544944643788e+07, 1.030783544944643788e+07, 1.225090220279510686e+05, 1.225090220279510686e+05
3.370000000000000000e+04, 1.000000000000000000e+00, 9.976696094628049061e+06, 9.976696094628049061e+06, 9.976696094628049061e+06, 1.275323138105384860e+05, 1.275323138105384860e+05
3.719000000000000000e+04, 1.000000000000000000e+00, 9.615021632357172668e+06, 9.615021632357172668e+06, 9.615021632357172668e+06, 1.354933597743127611e+05, 1.354933597743127611e+05
4.105000000000000000e+04, 1.000000000000000000e+00, 9.227758494207784534e+06, 9.227758494207784534e+06, 9.227758494207784534e+06, 1.192501282708679064e+05, 1.192501282708679064e+05
4.530000000000000000e+04, 1.000000000000000000e+00, 8.822201797385210171e+06, 8.822201797385210171e+06, 8.822201797385210171e+06, 1.241822402036793210e+05, 1.241822402036793210e+05
5.000000000000000000e+04, 1.000000000000000000e+00, 8.401998761035505682e+06, 8.401998761035505682e+06, 8.401998761035505682e+06, 1.066021263761292212e+05, 1.066021263761292212e+05
