# Binding energy = beta*G_N*M_AMC^2/R_AMC
# Columns: deltaE/Ebind, deltaM/M, f_ej, E_i_unbound/E_i_total
1.933891750455232028e+01 4.419089125328842793e-01 9.993069497127019529e-01 4.720517770384712736e-02
2.171117945694505380e+01 4.465393060640182599e-01 9.993585512221259126e-01 4.874611704830306147e-02
2.437444150122221842e+01 4.509595053167955725e-01 9.994018253668683904e-01 5.018743625636116340e-02
2.736439997074672092e+01 4.563571936450405153e-01 9.994538057065848191e-01 5.217274162797760906e-02
3.072112998861759081e+01 4.618554928259197556e-01 9.995039996714057962e-01 5.432534343968450224e-02
3.448962260405759395e+01 4.658522416735362826e-01 9.995337490451177143e-01 5.569812284493311227e-02
3.872038781812557318e+01 4.708774219463173205e-01 9.995707015243285865e-01 5.766196129160069961e-02
4.347013158125026422e+01 4.766110940352126235e-01 9.996116646696613373e-01 6.013951346003527237e-02
4.880251583654433745e+01 4.809228706740717452e-01 9.996380573579597417e-01 6.185932176197542209e-02
5.478901179593945159e+01 4.855345467503494605e-01 9.996638879068520112e-01 6.376429566981890729e-02
6.150985788580504021e+01 4.910882059884553730e-01 9.996944008303033646e-01 6.634170975993393393e-02
6.905513520162330110e+01 4.961623853210105350e-01 9.997200955497606012e-01 6.874277472446005399e-02
7.752597488629464806e+01 5.003533391329910707e-01 9.997379476191471381e-01 7.056376580326184644e-02
8.703591361485165123e+01 5.055769704980638268e-01 9.997598923854824626e-01 7.314393075041115966e-02
9.771241535346501905e+01 5.113000404707437330e-01 9.997830545264270174e-01 7.623073754493853160e-02
1.096985797892386358e+02 5.153381495017715919e-01 9.997965315229278005e-01 7.814558706104160479e-02
1.231550603292826196e+02 5.201684594504458747e-01 9.998120001780296251e-01 8.066741265655079374e-02
1.382622173764659124e+02 5.258604782366750330e-01 9.998298077803577932e-01 8.398929898023324570e-02
1.552225357427047925e+02 5.304817028674227997e-01 9.998426346417523813e-01 8.658845879586966887e-02
1.742633386009654259e+02 5.348984417672350000e-01 9.998533977902526182e-01 8.901634721655989069e-02
1.956398343517064689e+02 5.403299009015118948e-01 9.998664183132693895e-01 9.239666724443949819e-02
2.196385372416551434e+02 5.457701613410400610e-01 9.998787336803200976e-01 9.598018668796023944e-02
2.465811075822603868e+02 5.497768655264505533e-01 9.998861551400353154e-01 9.828820519797459854e-02
2.768286630392072425e+02 5.548498451463033110e-01 9.998954375430931796e-01 1.016324167533610434e-01
3.107866187782013867e+02 5.606148006682990514e-01 9.999056705328617234e-01 1.058355493433631722e-01
3.489101213406780744e+02 5.647998063513134381e-01 9.999119495472398311e-01 1.085819727792444178e-01
3.917101490809260440e+02 5.694750948461293483e-01 9.999184639058578128e-01 1.118247315655502561e-01
4.397603609302730092e+02 5.751022475866908179e-01 9.999261480092997978e-01 1.162260816322497198e-01
4.937047852839003781e+02 5.799551967722204049e-01 9.999321596352360730e-01 1.199924229345091659e-01
5.542664520663118992e+02 5.842246538481840057e-01 9.999366836061880370e-01 1.230973863270110880e-01
6.222570836730230894e+02 5.895552285348183430e-01 9.999422502165349336e-01 1.275179563167983809e-01
6.985879746785262796e+02 5.951861934070195037e-01 9.999478701019220983e-01 1.325628229600680774e-01
7.842822061337682271e+02 5.990996086990824088e-01 9.999510363006942626e-01 1.355516021692111939e-01
8.804883581643482557e+02 6.040637164583974039e-01 9.999549885928555870e-01 1.398913131355857542e-01
9.884959046625585870e+02 6.098196610205468549e-01 9.999594492287093850e-01 1.455036612078415559e-01
1.109752496412074379e+03 6.140905393322549921e-01 9.999622881112582018e-01 1.493009530721084999e-01
1.245883364295008050e+03 6.186621729626705646e-01 9.999650581348721312e-01 1.534892587008006848e-01
1.398713102647241612e+03 6.242382524796439291e-01 9.999683743926868207e-01 1.592843613576914452e-01
1.570290124729377567e+03 6.291817278485585252e-01 9.999710659418296066e-01 1.644455606569001638e-01
1.762914118095951608e+03 6.333590882006741030e-01 9.999729901745764149e-01 1.684404694903886834e-01
1.979166867853557278e+03 6.386303415228058444e-01 9.999753847068020285e-01 1.742239075926471648e-01
2.221946860939528506e+03 6.442820177158298245e-01 9.999778453907172127e-01 1.809664843940978207e-01
2.494508135230316384e+03 6.481482808095415660e-01 9.999792101246063325e-01 1.848537810263778391e-01
2.800503894183636476e+03 6.530593259302189812e-01 9.999809098165712840e-01 1.905052551539077321e-01
3.144035471591500027e+03 6.587956698202099837e-01 9.999828439650860767e-01 1.979025193053917941e-01
3.529707302730657375e+03 6.630145858821243632e-01 9.999840640448453000e-01 2.028321326340300768e-01
3.962688638701478339e+03 6.675455897431807895e-01 9.999852570769869331e-01 2.082774762432968718e-01
4.448782831127594363e+03 6.731028369459141070e-01 9.999866938943345884e-01 2.158891568182757514e-01
4.994505115855139593e+03 6.779385099579465779e-01 9.999878340275026867e-01 2.224820888268077557e-01
5.607169938205469407e+03 6.820894472305556455e-01 9.999886646453138850e-01 2.276596599224026130e-01
6.294988990221887434e+03 6.873554307695475263e-01 9.999897042326357788e-01 2.352442993525744597e-01
7.067181273927505572e+03 6.928893029304789009e-01 9.999907468443436365e-01 2.438562662002945469e-01
7.934096665797492278e+03 6.966794374997589134e-01 9.999913235991916283e-01 2.487520345093126861e-01
8.907354638610457187e+03 7.016031920000416200e-01 9.999920639141175460e-01 2.561618128583600384e-01
1.000000000000000000e+04 7.073027600257908443e-01 9.999928969378698573e-01 2.657678094185122464e-01
