# Binding energy = (3/2)*G_N*M_AMC^2/R_AMC
# Columns: deltaE/Ebind, deltaM/M, f_ej, E_i_unbound/E_i_total
3.292971255097151308e-03 2.019481359543909998e-04 5.773185732596242906e-04 8.771503508797025202e-06
3.696912707195028347e-03 2.476448791311624967e-04 7.074899908133440787e-04 1.049802029391393578e-05
4.150404757850476717e-03 3.035568591336543741e-04 8.667632102042336804e-04 1.224499258549836726e-05
4.659525668664682083e-03 3.719208705586586118e-04 1.061485258936941583e-03 1.517138536506453828e-05
5.231099308056263997e-03 4.555329104238326518e-04 1.299604534693085157e-03 1.982616133643528298e-05
5.872786613189483196e-03 5.577755123735125874e-04 1.590755949991752051e-03 2.740576459211200796e-05
6.593188271333548338e-03 6.827780274323629007e-04 1.946679286926158601e-03 3.724900621904448034e-05
7.401959996915644276e-03 8.355810739135480876e-04 2.381701052174905412e-03 4.235179044176767816e-05
8.309941949353395751e-03 1.022330874881695632e-03 2.913278443825564890e-03 5.712363596363305532e-05
9.329304026284686302e-03 1.250536104980259954e-03 3.562736647852989078e-03 7.967278947120521172e-05
1.047370897959450792e-02 1.529322233066026607e-03 4.355950827807121388e-03 1.020688784522779324e-04
1.175849554052158137e-02 1.869810069667815315e-03 5.324486934347452509e-03 1.332813679046340987e-04
1.320088400831419435e-02 2.285535417610419333e-03 6.506711119056132232e-03 1.801296176015780700e-04
1.482020705798860020e-02 2.792924878823842706e-03 7.949130863055542395e-03 2.356847879842738618e-04
1.663816886076130777e-02 3.411934050952405637e-03 9.708209959119730448e-03 3.176011802583618773e-04
1.867913599020784576e-02 4.166812898613313741e-03 1.185247379736007085e-02 4.166295574861523057e-04
2.097046401323235040e-02 5.086786146561743903e-03 1.446442000204184973e-02 5.554907931458766225e-04
2.354286414322420348e-02 6.207551871738572341e-03 1.764454161159685966e-02 7.364987965881561504e-04
2.643081486974108163e-02 7.571424808152472236e-03 2.151220016714354075e-02 9.801784393993330600e-04
2.967302408188872420e-02 9.230299674894080694e-03 2.621284128396178179e-02 1.303587709272037735e-03
3.331294787934677148e-02 1.124576500734913304e-02 3.191886195984420388e-02 1.728142077460690209e-03
3.739937302478801850e-02 1.369217548882631363e-02 3.883816087376111559e-02 2.305836932976109907e-03
4.198707084443914495e-02 1.665734027106105866e-02 4.721479418633573594e-02 3.074002653109000199e-03
4.713753134116728527e-02 2.024628131990812915e-02 5.733959654681342055e-02 4.092311063067292226e-03
5.291978735958447616e-02 2.458211443627564968e-02 6.955182773494926474e-02 5.451173719512629294e-03
5.941133984965039916e-02 2.980970857487653947e-02 8.424752359081413844e-02 7.247791086605450198e-03
6.669919663030128565e-02 3.609567340240569383e-02 1.018772396641795946e-01 9.625301199148875511e-03
7.488103857590031054e-02 4.363126484295613838e-02 1.229523602585962522e-01 1.274373424344075328e-02
8.406652885618333404e-02 5.263009019996976040e-02 1.480325550570945892e-01 1.682493316523294216e-02
9.437878277775389735e-02 6.332337872792173639e-02 1.777049260573822509e-01 2.213991827280276450e-02
1.059560179277617004e-01 7.595020739753702288e-02 2.103415786797416809e-01 2.899261921586685983e-02
1.189534067370320858e-01 9.073512775186688695e-02 2.508307775186526811e-01 3.772670623068482415e-02
1.335451562929900193e-01 1.078376196959486555e-01 2.971786718913532743e-01 4.868675725501063478e-02
1.499268432786046990e-01 1.272572701097755832e-01 3.489735289987635491e-01 6.209712193760268811e-02
1.683180353330958334e-01 1.485638291544255363e-01 4.042321554190592137e-01 7.770393842921259620e-02
1.889652339691211547e-01 1.694480348917473400e-01 4.541323793804629139e-01 9.263785164593008048e-02
